INFO 2017-07-02 09:54:39,096 Training start
INFO 2017-07-02 09:54:44,590 Mean loss in 0th epoch is: 1.9055206775665283
INFO 2017-07-02 09:54:45,040 Overall VALIDATION accuracy is: 0.59
INFO 2017-07-02 09:54:45,040 Overall VALIDATION loss is: 1.7124582529067993
INFO 2017-07-02 09:54:48,267 Mean loss in 1th epoch is: 1.4399900436401367
INFO 2017-07-02 09:54:48,627 Overall VALIDATION accuracy is: 0.665
INFO 2017-07-02 09:54:48,627 Overall VALIDATION loss is: 1.091097116470337
INFO 2017-07-02 09:54:51,904 Mean loss in 2th epoch is: 0.8917319178581238
INFO 2017-07-02 09:54:52,280 Overall VALIDATION accuracy is: 0.92
INFO 2017-07-02 09:54:52,281 Overall VALIDATION loss is: 0.5094983577728271
INFO 2017-07-02 09:54:55,583 Mean loss in 3th epoch is: 0.42166242003440857
INFO 2017-07-02 09:54:55,948 Overall VALIDATION accuracy is: 0.955
INFO 2017-07-02 09:54:55,949 Overall VALIDATION loss is: 0.34045255184173584
INFO 2017-07-02 09:54:59,149 Mean loss in 4th epoch is: 0.29284951090812683
INFO 2017-07-02 09:54:59,514 Overall VALIDATION accuracy is: 0.975
INFO 2017-07-02 09:54:59,514 Overall VALIDATION loss is: 0.2901648283004761
INFO 2017-07-02 09:55:02,743 Mean loss in 5th epoch is: 0.28187206387519836
INFO 2017-07-02 09:55:03,144 Overall VALIDATION accuracy is: 0.98
INFO 2017-07-02 09:55:03,145 Overall VALIDATION loss is: 0.2327110320329666
INFO 2017-07-02 09:55:06,474 Mean loss in 6th epoch is: 0.23566989600658417
INFO 2017-07-02 09:55:06,846 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:06,846 Overall VALIDATION loss is: 0.18476547300815582
INFO 2017-07-02 09:55:10,255 Mean loss in 7th epoch is: 0.17658814787864685
INFO 2017-07-02 09:55:10,619 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:10,619 Overall VALIDATION loss is: 0.1593702733516693
INFO 2017-07-02 09:55:11,179 Mean loss in 8th epoch is: 0.1524602770805359
INFO 2017-07-02 09:55:11,542 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:11,542 Overall VALIDATION loss is: 0.14633244276046753
INFO 2017-07-02 09:55:12,106 Mean loss in 9th epoch is: 0.13976255059242249
INFO 2017-07-02 09:55:12,472 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:12,472 Overall VALIDATION loss is: 0.13706955313682556
INFO 2017-07-02 09:55:13,025 Mean loss in 10th epoch is: 0.12917864322662354
INFO 2017-07-02 09:55:13,395 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:13,395 Overall VALIDATION loss is: 0.12595829367637634
INFO 2017-07-02 09:55:13,944 Mean loss in 11th epoch is: 0.12405558675527573
INFO 2017-07-02 09:55:14,411 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:14,411 Overall VALIDATION loss is: 0.1196780577301979
INFO 2017-07-02 09:55:15,191 Mean loss in 12th epoch is: 0.1160816177725792
INFO 2017-07-02 09:55:15,619 Overall VALIDATION accuracy is: 1.0
INFO 2017-07-02 09:55:15,619 Overall VALIDATION loss is: 0.1119859367609024
INFO 2017-07-02 09:55:15,620 Normal Early stop
INFO 2017-07-02 09:55:15,620 Training complete
