，	124634
的	98166
！	49051
一	48686
不	40482
人	40065
？	37853
了	36672
国	35297
是	33371
大	32810
这	30658
：	30102
0	28815
中	26981
有	25343
个	24032
你	23258
1	22117
子	21995
“	21780
”	21592
美	21077
上	19734
最	19222
女	18158
么	17827
生	17561
在	17446
为	17158
2	16216
家	16047
年	15889
来	15372
小	15188
后	15151
能	15147
车	14966
出	14817
我	14142
看	13972
天	13732
要	13664
到	13639
好	13425
发	13395
新	13090
被	12300
都	12146
宝	12010
吃	11422
会	11289
多	11246
5	11062
机	11020
手	10851
成	10848
就	10799
还	10587
时	10572
3	10430
下	10408
6	10264
可	9873
高	9869
开	9815
日	9777
老	9699
用	9668
全	9657
军	9588
战	9570
事	9537
万	9142
行	9076
自	9068
现	9019
过	9008
做	8988
里	8968
三	8887
地	8878
心	8870
什	8830
道	8675
真	8579
他	8417
如	8406
之	8361
说	8208
样	8126
得	8104
些	8027
和	7966
长	7964
将	7886
.	7815
公	7797
4	7691
对	7669
让	7635
吗	7623
没	7609
动	7590
何	7507
男	7500
法	7486
方	7409
实	7383
》	7285
《	7283
们	7269
星	7242
身	7145
球	7085
世	7082
学	7064
孩	7049
点	7011
无	6970
力	6881
7	6874
儿	6866
打	6800
场	6746
8	6739
海	6693
第	6690
本	6654
妈	6632
种	6584
比	6507
去	6341
、	6336
前	6312
知	6307
也	6261
游	6253
外	6225
分	6206
然	6198
王	6187
起	6177
月	6165
太	6157
十	6091
只	6088
神	6059
想	6016
9	5981
马	5890
重	5879
名	5857
竟	5855
主	5827
以	5824
民	5822
S	5799
面	5765
超	5761
界	5740
明	5733
爱	5732
产	5697
西	5689
却	5618
金	5613
经	5607
市	5590
头	5581
特	5497
水	5471
怎	5469
死	5456
性	5394
情	5336
与	5305
A	5282
业	5223
间	5212
—	5203
果	5197
别	5192
友	5154
强	5113
回	5103
给	5048
电	5040
两	5029
-	5007
网	5003
L	4987
解	4962
气	4958
路	4943
再	4899
体	4895
岁	4853
原	4841
次	4818
当	4817
定	4795
意	4756
几	4748
款	4742
合	4721
东	4711
变	4697
穿	4693
斯	4687
物	4683
那	4676
入	4646
代	4640
